character,unicode,usage_count
가,U+AC00,1798
각,U+AC01,152
간,U+AC04,119
갈,U+AC08,94
감,U+AC10,52
갑,U+AC11,51
갔,U+AC14,32
강,U+AC15,25
갖,U+AC16,10
같,U+AC19,314
갚,U+AC1A,4
개,U+AC1C,53
객,U+AC1D,1
갯,U+AC2F,5
갱,U+AC31,1
갸,U+AC38,1
걀,U+AC40,2
거,U+AC70,935
걱,U+AC71,15
건,U+AC74,455
걷,U+AC77,5
걸,U+AC78,241
검,U+AC80,14
겁,U+AC81,20
것,U+AC83,360
겉,U+AC89,1
게,U+AC8C,1031
겠,U+ACA0,353
겨,U+ACA8,37
격,U+ACA9,31
견,U+ACAC,5
결,U+ACB0,54
겼,U+ACBC,5
경,U+ACBD,90
곁,U+ACC1,4
계,U+ACC4,195
고,U+ACE0,1537
곡,U+ACE1,6
곤,U+ACE4,44
곧,U+ACE7,20
골,U+ACE8,4
곰,U+ACF0,1
곱,U+ACF1,5
곳,U+ACF3,155
공,U+ACF5,39
과,U+ACFC,96
관,U+AD00,94
광,U+AD11,9
괘,U+AD18,1
괜,U+AD1C,122
괴,U+AD34,24
굉,U+AD49,8
교,U+AD50,10
구,U+AD6C,345
국,U+AD6D,13
군,U+AD70,20
굳,U+AD73,10
굴,U+AD74,46
굽,U+AD7D,6
궁,U+AD81,8
궂,U+AD82,5
권,U+AD8C,18
귀,U+ADC0,12
규,U+ADDC,6
그,U+ADF8,3817
극,U+ADF9,13
근,U+ADFC,30
글,U+AE00,54
긁,U+AE01,5
금,U+AE08,240
급,U+AE09,14
긋,U+AE0B,14
긍,U+AE0D,1
기,U+AE30,5379
긴,U+AE34,69
길,U+AE38,48
김,U+AE40,7
깁,U+AE41,1
깃,U+AE43,1
깊,U+AE4A,6
까,U+AE4C,722
깎,U+AE4E,2
깐,U+AE50,62
깔,U+AE54,1
깜,U+AE5C,2
깝,U+AE5D,1
깨,U+AE68,7
꺼,U+AEBC,3
껍,U+AECD,6
껏,U+AECF,7
께,U+AED8,62
껴,U+AEF4,26
꼬,U+AF2C,35
꼭,U+AF2D,12
꼴,U+AF34,2
꼼,U+AF3C,3
꽁,U+AF41,1
꽂,U+AF42,1
꽃,U+AF43,30
꽉,U+AF49,3
꽤,U+AF64,19
꾸,U+AFB8,7
꾹,U+AFB9,1
꾼,U+AFBC,9
꿀,U+AFC0,2
꿈,U+AFC8,39
꿉,U+AFC9,3
꿎,U+AFCE,2
꿔,U+AFD4,1
뀌,U+B00C,5
끄,U+B044,15
끈,U+B048,12
끊,U+B04A,1
끌,U+B04C,2
끔,U+B054,13
끗,U+B057,3
끝,U+B05D,55
끼,U+B07C,33
낄,U+B084,1
낌,U+B08C,40
나,U+B098,1534
낙,U+B099,1
난,U+B09C,145
날,U+B0A0,375
낡,U+B0A1,1
남,U+B0A8,87
낫,U+B0AB,2
났,U+B0AC,31
낮,U+B0AE,2
낳,U+B0B3,5
내,U+B0B4,350
낸,U+B0B8,13
낼,U+B0BC,19
냄,U+B0C4,21
냈,U+B0C8,10
냐,U+B0D0,24
